"Story","Title","Result","Date","Stability","Duration (s)"
"add contact in my jurnal","Success fully create contact","ERROR","2022-06-27T16:00:14.778+07:00[Asia/Bangkok]","0.0","40.58"
"Input New Product in My Jurnal.id","Input New Product","SUCCESS","2022-06-27T16:00:55.426+07:00[Asia/Bangkok]","0.0","36.56"
